Epoch,TrainLoss,TrainAccuracy,TestLoss,TestAccuracy,CatAccuracy,DogAccuracy
0,0.087,91,0.09126122,96,96.5,95.5
1,0.0805,93.25,0.098118905,95.875,98,93.75
2,0.173,92.65,0.099576833,96.375,97.25,95.5
3,0.048,93.05,0.11164066,94.5,98,91
4,0.0788,93.2,0.113181267,95,91.5,98.5
5,0.292,95,0.106970038,96.25,95,97.5
6,0.233,93.95,0.104958648,95.375,97.25,93.5
7,0.236,94.6,0.101184513,95.875,96.75,95
8,0.337,94.3,0.097875946,96.375,97.75,95
9,0.000792,94.4,0.091425388,96.125,96.75,95.5
10,0.463,94.2,0.074268382,96.875,98.5,95.25
