Epoch,TrainLoss,TrainAccuracy,TestLoss,TestAccuracy,CatAccuracy,DogAccuracy
0,0.62692791223526,90.70,0.10278761914814823,96.125,97.5,94.75
1,0.7549030184745789,91.70,0.12850286003318614,95.5,98.75,92.25
2,0.021165896207094193,92.50,0.10979256124002859,94.625,91.25,98.0
3,0.009967011272907257,93.50,0.09612864789087325,96.625,97.5,95.75
4,0.00761534172296524,94.70,0.09441653206278716,96.0,98.75,93.25
5,0.003005138874054,94.60,0.10827483421236984,95.375,95.75,95.0
6,0.00218977642059326,93.30,0.08296083404413367,96.625,96.75,96.5
7,0.00133613920211792,96.20,0.10048102877102792,95.375,94.5,96.25
8,0.00122271645069122,95.60,0.10931073368492435,95.125,99.5,90.75
9,0.001507373597472906,93.70,0.09856628663815684,95.375,99.0,91.75
10,0.00181092393398285,95.40,0.10960394315816757,95.25,95.75,94.75
